N,Código,Tipo de muestra,x,y,Zona,Hoja,Nombre del proyecto,Año del proyecto ,N° Boletín,Serie,Año de Publicación,Región,Reporte,Laboratorio,Análisis,Geología,Au_g/Tm,Hg_ppb,Ag _ppm,Ba_ppm,Co_ppm,Cr_ppm,Cu_ppm,La _ppm,Li_ppm,Ni_ppm,Pb_ppm,Sc_ppm,Rb_ppm,Sr_ppm,V_ppm,Zn_ppm,As_ppm,Bi_ppm,Cd_ppm,Mo_ppm,Sb_ppm,Tl_2_ppm,W_2_ppm,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Mn_pct,Na_pct,P_pct,Si_pct,Ti_pct,Y_ppm,Zr_ppm,Be_ppm,Ce_ppm,Cs_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Hf_ppm,Ho_ppm,In_ppm,Lu_ppm,Nb_ppm,Nd_ppm,Pr_ppm,Sm_ppm,Ta_ppm,Tb_ppm,Th_ppm,Tm_ppm,U_ppm,W_1_ppm,Yb_ppm
188,21l-RGQ24-013,Rocas,441068,8842444,18,21-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva, color blanquecina, textura obliterada con relictos de cuarzo subhedral color hialino (cuarzo ? 40 %), plagioclasas = 20 % alterandose a arcillas finas blanquecinas (argilización moderada). Presenta óxidos de hierro entre las fracturas. Tamaño del cuarzo: 0.5 - 1 cm y > 1 cm.",na,na,<0.5,304,3,<1,5,7.4,7.512,<5,34,9,18,54,15,145,<5,<10,<1,<2,<2,<0.5,<5,12.77,0.35,2.25,1.48,0.24,0.1,3.7,<0.01,26.16,0.18,56,779,6.2,83.6,2.18,9.1,5.3,0.9,35.7,10.3,20.9,1.7,<0.2,0.74,24.8,43.7,13.7,11,2,1.5,24.8,0.6,11.1,2,5.1
189,21l-RGQ24-014,Rocas,428405,8853260,18,21-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca íngea intrusiva, color blanquecina, textura porfirítica con cuarzo ? 30 %, feldespato K = 30 %, plagioclasas = 40 %, biotitas anhedrales y óxidós de hierros, asociada al granito rico en cuarzo del Plutón San Juán. Roca deleznable. ",na,na,<0.5,652,4,2,9,6.7,10.484,<5,17,7,17,154,14,41,<5,<10,<1,<2,<2,<0.5,<5,15.79,2.05,1.36,0.98,0.19,0.06,2.45,0.02,22.93,0.13,16,190,2.3,30,0.88,2.4,1.5,1.4,30.7,2.6,4.3,0.5,<0.2,0.2,1.8,9.9,3.5,2.6,<0.5,0.4,2.9,0.2,1.2,<1,1.4
190,21l-RGQ24-015,Rocas,430989,8852164,18,21-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva blanquecina con tonalidades rojizas, textura granular, cuarzo = 30 %, plagioclasas = 40%, feldespato K = 30 %, biotitas subhedrales - anhedrales, roca fracturada y deleznable (argilización), presenta óxidos de hierro en matriz y fracturas. ",na,na,1,150,1,7,8,8,12.616,<5,150,<5,74,4,14,75,26,<10,<1,<2,<2,0.5,<5,7.03,<0.01,0.76,2.26,0.17,<0.01,0.24,<0.01,35.49,0.11,17,191,1.3,38.9,2.71,2.2,1.7,0.4,14.8,2.3,5,0.6,<0.2,0.33,8.5,11.8,4.2,2.7,0.7,0.4,20.7,0.3,3.2,1,1.9
191,21l-RGQ24-016,Rocas,432630,8853020,18,21-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva, color blanquecina con tonalidades rojizas, textura porfirítica granular, cuarzo 40 %, plagioclasas, feldespatos potásicos 40 % y biotitas anhedrales. Presencia de alteración argílica y óxidos de hierro. Fractura: N-S/E. Roca asociada a la unidad de Granito rico en cuarzo. Monzogranito - sienogranito?",na,na,<0.5,51,<1,2,11,<2,3.173,<5,12,<5,108,12,<10,11,<5,<10,<1,<2,<2,0.9,<5,10.02,0.06,0.52,4.36,0.12,<0.01,3.98,0.02,30.31,0.04,22,101,8,47.5,2.26,1.8,1.5,0.2,29.9,2.3,3.3,0.4,<0.2,0.27,18.7,11.2,4.5,2,1.2,0.4,42.3,0.3,5.1,2,1.8
192,21m-RGQ24-001,Rocas,446620,8840133,18,21-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca intrusiva, color blanquecina, textura obliterada con relictos de cuarzo ? 45 %, plagioclasas = 20 % alterandose a arcillas (argilización), feldespato K ? 5 %. Cuarzo hialino de 1 a 2 cm, biotitas anhedrales. Asociado a la unidad de granito rico en cuarzo.",na,na,<0.5,544,4,1,3,25.8,18.365,<5,10,6,49,88,28,80,<5,<10,<1,<2,<2,<0.5,<5,8.17,0.96,2.38,2.65,0.36,0.07,2.91,0.03,31.49,0.22,36,226,2.8,123.6,2.67,6.3,3.2,1.1,22.9,8.2,6,1.2,<0.2,0.47,11.1,42.8,14.5,9.2,0.6,1.2,12.3,0.5,2.6,<1,3.5
193,22l-RGQ24-001,Rocas,420707,8792719,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,132-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Roca volcánica sedimentaria color gris, textura granular de grano fino, roca silicificada con mineralización de Cu (calcopirita y pirita) y óxidos de hierro. Ganga de cuarzo.",<0.027,<10,<0.5,1090,<1,5,2,49.2,<2,<5,<5,6,105,102,<10,28,6,<10,<1,<2,<2,<0.5,<5,7.78,0.6,1.53,3.32,0.23,0.03,3.73,0.01,32.64,0.2,49,395,3.7,135.9,1.07,7.6,4.1,2.1,22.4,10.2,9.3,1.5,<0.2,0.56,23.1,50,15.5,10.5,1.1,1.6,13.8,0.5,3.1,<1,3.8
194,22l-RGQ24-001a,Rocas,420793,8792715,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,132-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Muestra de roca de cancha de mineral, fragmentos de roca intrusiva color rojiza, textura brechada con diseminaciones de Au y Cu con abundantes óxidos de hierro (hematita, goethita y jarosita). Se observa pirita cúbica, venillas de cuarzo drustico. Labor minera (pique) con fuerte silicificación la mineralización se presenta en venillas, diseminada y agregados.",13.667,305,5,251,16,25,144,21.2,<2,49,238,<5,36,6,19,1056,17432,167,10,<2,64,<0.5,<5,2.88,0.01,18.93,1.02,0.39,0.08,0.35,<0.01,24.73,0.08,32,122,0.9,33.1,0.51,4.1,2.2,0.8,14.3,3.7,2.4,0.8,<0.2,0.21,6.4,13.2,4,3.3,<0.5,0.7,4.4,0.3,6.6,<1,1.7
195,22l-RGQ24-001b,Rocas,420710,8792814,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,132-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Muestra de roca de cancha de mineral, fragmentos de roca brechada con clastos subangulosos de intrusivo y cuarzo, presenta pirita, calcopirita, malaquita, calcantita y óxoidos de hierro (hematita, goethita y jarosita), presenta alteración argílica; procedente de labor 2 del pique de mina Fm. Reyes.",1.262,7816,108.4,319,4,25,14385,8,3.913,13,9285,<5,46,7,55,6439,1129,80,11,9,56,<0.5,<5,2.52,0.04,2.85,1.4,0.56,0.02,0.29,0.06,38.25,0.02,<5,9,1.2,25.2,0.81,0.6,0.2,0.6,18.6,2.1,<0.2,<0.1,3.6,<0.15,<0.5,11.2,3.2,2.5,<0.5,0.3,0.7,<0.1,19.2,<1,0.4
196,22l-RGQ24-008,Rocas,431933,8795731,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva, color gris blanquecina, tonalidad leucócrata, geometría tabular, textura pegmatítica granular. Cristales de cuarzo hialino subhedral ? 30 %, feldespato potásico subhedral ? 15 %, biotita anhedral ? 10 %, con débil óxidos de hierro en fracturas, moderada alteración propilítica, epídota y clorita en venillas milimétricas y matriz. Fractura: S20°O / 75°NO.",na,na,<0.5,400,1,3,28,11.2,8.161,<5,29,7,147,75,<10,32,9,<10,<1,<2,<2,0.6,<5,7.92,0.97,1.44,3.66,0.21,0.04,3.01,<0.01,33.07,0.07,70,178,3.3,36.4,2.09,7.8,5.3,0.7,19.4,6,5.6,1.7,<0.2,0.83,6.8,15,4.5,5.4,0.8,1,19.8,0.7,6.7,<1,5.1
197,22l-RGQ24-008a,Rocas,431604,8796847,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva color gris blanquecino, tonalidad leocrácata, geometría tabular, textura pemagtítica. Grandes cristales de cuarzo hialino subhedral ? 30 %, feldespato potásico anhedral ? 10 % y biotita ? 5 % alterando a clorita, fuerte alteración propilítica, clorita y epídota en fracturas y matriz. Débil magnetismo, roca con regular peso específico.",na,na,<0.5,222,9,5,15,6,12.646,<5,22,16,38,249,66,64,7,<10,<1,<2,<2,<0.5,<5,6.68,2.81,2.88,0.82,0.76,0.06,1.95,0.07,33.27,0.28,22,125,1.6,22.1,0.58,2.9,1.5,0.6,16.2,2.4,2.5,0.6,<0.2,0.27,4.1,9.1,2.7,2.8,<0.5,0.4,4.6,0.3,1.9,<1,1.6
198,22l-RGQ24-010,Rocas,414443,8795236,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,132-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Roca ígnea intrusiva color blanquecina con tonalidades verdosas, geometría tabular, textura porfirítica granular, cuarzo ? 25 %, plagioclasas > 30 %, biotitas anhedrales alterando a clorita, presenta pirita y óxidos de hierro, calcopirita en trazas y silicificación.",<0.027,30,<0.5,887,4,3,4,14,5.545,<5,<5,7,18,125,40,40,10,<10,<1,<2,<2,<0.5,<5,8.51,0.67,2.68,2.61,0.66,0.05,4.1,0.09,30.97,0.42,33,526,2.9,150.7,0.83,6.5,3.2,2.6,23.8,10.4,11.2,1.3,<0.2,0.46,19.3,54.7,17.2,10.9,0.9,1.5,17.6,0.5,3.2,<1,3.3
199,22l-RGQ24-010a,Rocas,414928,8794942,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,132-2024,INGEMMET,"I, IIa, IIb, III","Roca color gris con tonalidades rojizas, textura afanítica, granular fina (seudo afanítica), alteración moderada de silicificación con mineralización diseminada de pirita y calcopirita (0.5 %) en partes, se presenta en la matriz; calcita en fracturas y venillas de 0.5 cm a 1 cm. Fracturamiento: N55°E / 25NW.",na,na,<0.5,608,21,52,579,65.9,14.609,48,6,16,59,277,78,71,4132,<10,<1,<2,<2,<0.5,<5,7.3,2.83,6.29,1.72,1.09,0.06,2.86,0.13,27.39,0.69,60,725,2.8,126,0.51,9.5,4.8,1.8,21.6,11.6,17.3,1.9,<0.2,0.74,25.4,49.5,15.6,12.1,1.2,1.8,16.9,0.7,4.2,2,5.2
200,22l-RGQ24-011,Rocas,412402,8812831,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca, color gris con tonalidades verdosas, textura obliterada, con presencia de clorita y epídota en matriz y venillas, débil alteración argílica con presencia de óxidos de hierro (hematita-goethita). Seudoestratificación: S60°W/30°NW.",na,na,<0.5,296,28,65,101,10,45.378,26,<5,32,53,255,230,110,40,<10,<1,<2,<2,<0.5,<5,9.18,4.84,7.39,1.62,3.26,0.12,1.72,0.05,23.45,0.52,13,74,1,19.2,2.45,2.5,1.6,0.8,21,2.4,1.4,0.6,<0.2,0.18,2.4,9.1,2.5,2.5,<0.5,0.4,2.2,0.2,0.9,<1,1.6
201,22l-RGQ24-011a,Rocas,412560,8812485,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea volcánica, color gris con tonalidades verdosas, textura obliterada, relictos de biotitas anhedrales con óxidos de hierro moderado en fractura y matriz. Fracturamiento 1: S65°W/55°NE y fracturamiento 2: S70°W/35°NE.",na,na,<0.5,429,29,55,128,5.4,77.695,36,<5,24,22,237,188,104,18,<10,<1,<2,2,<0.5,<5,9.19,2.2,5.84,1.31,3.41,0.1,3.25,0.04,24.18,0.44,13,52,1.2,17.3,2.23,2.1,1.3,0.7,16.9,2.3,1.4,0.4,<0.2,0.21,2.1,7.9,2.2,2.2,<0.5,0.3,1.8,0.2,0.7,<1,1.2
202,22l-RGQ24-015,Rocas,424180,8816328,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva, color blanquecina, textura fanerítica granular, cuarzo ? 45%, plagioclasas ? 30% con biotitas anhedrales. Asociado al monzogranito rico en biotitas y anfibol, presenta magnetismo moderado. Diaclasa 1: N80°W/20°NE; diaclasa 2: N60°E/80°NW.",na,na,0.5,484,18,20,71,13.9,28.371,20,6,23,53,275,124,66,<5,<10,<1,<2,<2,<0.5,<5,8.91,5.16,4.7,1.09,1.91,0.08,2.42,0.1,26.62,0.41,24,185,1.7,28.8,4.11,3.4,1.9,1,19.5,3.4,3.9,0.7,<0.2,0.26,4.4,13.5,3.7,3.2,<0.5,0.6,9.2,0.3,3.1,<1,2.5
203,22l-RGQ24-016,Rocas,425114,8800625,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva, color gris blanquecina, textura porfirítica granular, con cuarzo ? 45%, plagioclasas ? 25%, biotitas anhedrales alterandose a cloritas, presencia de alteración argílica selectiva, posiblemente monzogranito rico en cuarzo. Buzamiento S25°E / 45°SW.",na,na,<0.5,372,<1,2,2,4.1,3.25,<5,<5,5,50,32,<10,13,<5,<10,<1,<2,<2,<0.5,<5,6.76,0.41,1.18,2.22,0.11,0.02,3.24,0.02,34.82,0.05,37,70,2.3,36.3,1.67,4.5,3.3,0.6,13.8,4,2.1,1,<0.2,0.41,3.9,14.5,4.3,3.7,<0.5,0.7,8.3,0.5,1.7,<1,2.9
204,22l-RGQ24-017,Rocas,403050,8810553,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva, color blanquecino, geometría tabular, textura granular, Qz ? 30%, plagioclasas = 10 %, feldespatos K = 5%, con biotitas anhedrales y presencia de óxidos de hierro. Diaclasas S50°E/90°",na,na,<0.5,114,<1,2,<2,9.2,9.045,<5,9,<5,244,34,<10,14,<5,<10,<1,<2,<2,0.9,<5,6.26,0.45,0.69,3.85,0.06,0.03,2.5,<0.01,35.53,0.06,20,87,4.8,38.1,2.52,2.3,1.6,0.3,17.1,2.2,2.6,0.4,<0.2,0.3,17.9,10.5,3.6,2.3,1.7,0.4,27.2,0.2,6.7,<1,2.1
205,22l-RGQ24-018,Rocas,406785,8815082,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva, color gris claro, geometría tabular, textura granular con cuarzo hialino ? 30%, plagioclasas: biotitas anhedrales-subhedrales alterandose a cloritas. Presencia de cristales de cuarzo ? 1 cm. Presencia débil de óxidos de hierro, sin alteración.",na,na,<0.5,448,4,2,<2,7.3,9.3,<5,<5,6,42,106,24,40,5,<10,<1,<2,<2,<0.5,<5,6.58,1.2,1.89,1.34,0.65,0.06,2.56,<0.01,34.52,0.14,7,100,1.7,25.2,1.17,1.3,0.9,0.6,13.9,1.3,2.1,0.2,<0.2,<0.15,3.7,6.9,2.5,1.6,<0.5,0.3,5.9,0.1,1.3,<1,0.9
206,22l-RGQ24-021,Rocas,428040,8798615,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva, color blanquecina con tonalidades verdosas, textura granular, cuarzo ? 45%, plagioclasas = 30%, biotitas y horblendas anhedrales en parte subtabulares. Alteración propilítica con sobreimposición de argílica selectiva, presenta óxidos de hierro en venillas y fracturas.",na,na,<0.5,333,5,4,<2,6.8,12.548,<5,<5,10,53,126,40,28,<5,<10,<1,<2,<2,<0.5,<5,7.55,1.46,2.78,1.99,0.72,0.04,2.3,0.03,31.82,0.23,19,265,2,22.6,1.34,3.1,1.6,0.8,17.2,2.7,6.2,0.7,<0.2,0.27,4.9,9.4,2.8,2.3,<0.5,0.4,6.3,0.3,2.6,<1,1.9
207,22l-RGQ24-022,Rocas,435955,8819544,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva, color blanquecina, textura granular de grano grueso, presenta cuarzo= 40%, feldespatos K = 40%, asociado a un sienogranito de unidad no identificada.",na,na,<0.5,82,<1,3,5,11.2,17.027,<5,<5,<5,210,3,<10,85,<5,<10,<1,<2,<2,1,<5,7.28,<0.01,0.82,3.82,0.41,0.02,0.1,<0.01,35.07,0.04,17,118,3.6,15.2,8.35,1.8,1,0.6,36,2.9,5.6,0.4,0.2,0.22,16.9,17.6,6,3,1,0.4,25.7,0.2,2.8,<1,1.6
208,22l-RGQ24-023,Rocas,435222,8818387,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva, color blanquecina con tonalidades rojizas, geometria tabular, textura granular de grano grueso con cuarzo = 40%, feldespatos K = 40%, plagioclasas = 20%. Presenta biotitas anhedrales y óxidos de hierro. Asociada a un sienogranito de la unidad no identificada.",na,na,<0.5,483,2,3,7,14,10.31,<5,14,<5,47,68,14,42,<5,<10,<1,<2,<2,0.6,<5,8.17,0.47,1.45,3.42,0.27,0.09,3.48,0.06,31.84,0.22,29,455,4.3,105.5,1.31,3.9,2.3,1,23.5,6.1,11.1,0.7,<0.2,0.43,16.9,31.5,11,6.6,0.9,1,26,0.3,5.8,4,2.9
209,22l-RGQ24-025,Rocas,408364,8808318,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva, color gris claro, con tonalidades verdosas, textura fanerítica, biotitas alterandose a cloritas, cuarzo = 25%, plagioclasas = 45%, biotita y horblendas anhedrales > 20%, presencia débil de óxidos de hierro sin alteración.",na,na,<0.5,1101,15,38,14,47.4,8.168,21,20,17,80,500,111,102,13,<10,<1,<2,<2,<0.5,<5,8.47,3.24,4.81,1.9,1.67,0.09,2.75,0.1,27.12,0.51,29,387,2.3,93,0.96,4.5,2.3,2,22.3,6.6,7.3,0.9,<0.2,0.31,12.6,35.2,10.6,6.8,0.6,1.1,8.3,0.3,2,<1,2.2
210,22l-RGQ24-027,Rocas,418778,8790464,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva, color gris claro, con tonalidades verdosas, textura porfirítica con cuarzo < 30%, plagioclasas ? 50%, biotitas anhedrales alterandose a cloritas, óxidos de hierros en fracturas, sin alteración.",na,na,<0.5,511,7,4,4,44.2,16.135,<5,<5,11,116,161,69,57,6,<10,<1,<2,<2,0.6,<5,8.44,0.74,3.23,1.79,0.86,0.08,3.84,0.1,29.84,0.36,45,369,2.6,124.5,2.11,7.2,3.9,1.7,21.2,9.2,8.6,1.5,<0.2,0.49,15.3,44.5,14.6,9.9,0.8,1.4,18.8,0.5,4.1,2,3.6
211,22l-RGQ24-033,Rocas,415755,8805545,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III","Roca ígnea intrusiva color blanquecina, geometría tabular, textura granular porfirítica obliterada con cuarzo ? 45%, plagioclasas > 25%, biotitas anhedrales, presenta alteración argílicia selectiva, mineralización de pirita diseminada esporádica y óxidos de hierro.",na,na,<0.5,90,2,2,<2,7.1,5.318,<5,7,<5,3,352,<10,14,<5,<10,<1,<2,<2,<0.5,<5,9.36,3.03,1.3,0.28,0.22,0.03,3.3,<0.01,31.18,0.11,11,278,2.9,15.3,0.81,0.8,0.5,0.9,16.7,0.8,6.9,0.2,<0.2,<0.15,2.4,3.6,1.3,0.8,<0.5,0.1,8,<0.1,4,<1,1.1
212,22l-RGQ24-034,Rocas,409123,8800223,18,22-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Pasco,132-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Roca ígnea intrusiva color gris claro, textura porfirítica con horblendas > 10 % y biotitas alterándose a clorita, asociado a un granito rico en cuarzo. Alteración propilitica débil y trazas de calcopirita. Se observa cateos y minas en los alrededores del intrusivo.",<0.027,<10,<0.5,435,15,21,12,34.6,15.092,5,<5,24,52,713,138,96,14,<10,<1,<2,<2,<0.5,<5,9,5.32,6.39,1.27,2.07,0.12,2.3,0.21,24.04,0.86,29,798,1.5,62.7,1.27,5,2.5,2,23.3,7.1,12.1,0.9,<0.2,0.36,8.4,28,8.4,7.4,<0.5,1,4.6,0.4,1.2,<1,2.7
